Name,Price
NAN 1 OPTIPRO STARTER INFANT FORMULA FROM BIRTH 400g,"₦2,600.00"
Nan 2 Follow-Up Optipro Formula 6-12 Months 400 g,"₦2,499.00"
NAN 2 FOLLOW-UP OPTIPRO FORMULA 6-12 MONTHS 400g,"₦2,480.00"
NAN 3 OPTIPRO GROWING UP MILK 1-3 YEARS 400g,"₦1,855.00"
NAPA CORNED BEEF 340g,₦900.00
NAPA SWEET KERNEL 340g,₦650.00
NASCO CORN FLAKES ORIGINAL 170g,₦315.00
NASCO CORN FLAKES ORIGINAL 350g,₦605.00
NASCO CORNFLAKES ORIGINAL 350g,₦625.00
NASCO FROSTED FLAKES 350g,₦640.00
NATCO GROUND BLACK PEPPER 100g,₦860.00
NATNUDO EGGS 12 PIECES,₦690.00
NATNUDO EGGS 6 PIECES,₦350.00
NATNUDO SMOKED CHICKEN 1.2kg,"₦1,300.00"
NATNUDO SMOKED CHICKEN 1.4kg,"₦2,080.00"
NEGRO PEPPER (uda seeds),₦100.00
NESCAFE BREAKFAST 3 IN 1 INSTANT COFEE MIX (32g x 8),₦645.00
NESCAFE CAPPUCCINO ORIGINAL (10's),"₦1,565.00"
NESCAFE CAPPUCCINO UNSWEETENED (10's),"₦1,415.00"
NESCAFE CLASSIC 25g,₦260.00
NESCAFE CLASSIC SACHET (2g x 10),₦315.00
